NO.;JUDUL BUKU;PENGARANG;PENERBIT;TEMPAT TERBIT;TAHUN;ISBN;JILID;EDISI;CET.;JUMLAH HAL.;RAK BUKU;JUMLAH BUKU;TINGGI BUKU             (cm);NOMOR PANGGIL;INISIAL;PEROLEHAN;HARGA;KET;;No. Induk
1503;Peraturan Pemerintah RI No.60 Tahun 2016 Tentang Jenis Dan Tarif Atas PNBP Yang Berlaku Pada Kepolisian RI;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1504;Peraturan Pemerintah RI No.61 Tahun 2016 Tentang Perubahan Atas Peraturan Pemerintah No.72 Tahun 2009 Tentang Lalu Lintas Dan Angkutan Kereta Api;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1505;Peraturan Pemerintah RI No.62 Tahun 2016 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Saham Perusahaan Perseroan (Persero) PT Pelayaran Samudera Djakarta Lloyd;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1506;Peraturan Pemerintah RI No.63 Tahun 2016 Tentang Jenis Dan Tarif Atas Jenis Penerimaan Negara Bukan Pajak Yang Berlaku Pada Arsip Nasional RI;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1507;Peraturan Pemerintah RI No.64 Tahun 2016 Tentang Pembangunan Perumahan Masyarakat Berpenghasilan Rendah;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1508;Peraturan Pemerintah RI No.65 Tahun 2016 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Saham Perusahaan Umum (Perum) Pembangunan Perumahan Nasional;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1509;Peraturan Pemerintah RI No.66 Tahun 2016 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Saham Perusahaan Perseroan (Persero) PT Pertani;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1510;Peraturan Pemerintah RI No.67 Tahun 2016 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Saham Perusahaan Perseroan (Persero) PT Industri Kereta Api;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1511;Peraturan Pemerintah RI No.68 Tahun 2016 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Saham Perusahaan Perseroan (Persero) PT Barata Indonesia;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1512;Peraturan Pemerintah RI No.69 Tahun 2016 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Saham Perusahaan Perseroan (Persero) PT Angkasa Pura II;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1513;Peraturan Pemerintah RI No.70 Tahun 2016 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Perusahaan Umum (Perum) Bulog;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1514;Peraturan Pemerintah RI No.71 Tahun 2016 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal BPJS Kesehatan;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1515;Peraturan Pemerintah RI No.72 Tahun 2016 Tentang Perubahan Atas Peraturan Pemerintah No.44 Tahun 2005 Tentang Tata Cara Penyertaan Dan Penatausahaan Modal Negara Pada Badan Usaha Milik Negara Dan Perseroan Terbatas;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1516;Peraturan Pemerintah RI No.73 Tahun 2016 Tentang Pajak Penghasilan Atas Program Jaminan Sosial Yang Diselenggarakan Badan Penyelenggara Jaminan Sosial;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1517;Peraturan Pemerintah No.76 Tahun 2016 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Saham Perusahaan Perseroan (Persero) PT Indonesia Asahan Aluminium;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1518;Peraturan Pemerintah RI No.77 Tahun 2016 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Saham Perusahaan Perseroan (Persero) PT Barata Indonesia;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1519;Peraturan Pemerintah RI No.78 Tahun 2016 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Saham Perusahaan Perseroan (Persero) PT Sarana Multigriya Finansial;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1520;Peraturan Pemerintah RI No.79 Tahun 2016 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Saham Perusahaan Perseroan (Persero) PT Penjamin Infrastruktur Indonesia;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1521;Peraturan Pemerintah RI No.80 Tahun 2016 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Saham Perseroan (Persero) PT Sarana Multi Infrastruktur;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1522;Peraturan Pemerintah RI No.81 Tahun 2016 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Lembaga Pembiayaan Ekspor Indonesia;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1523;Peraturan Pemerintah RI No.82 Tahun 2016 Tentang Jenis Dan Tarif Atas Jenis Penerimaan Negara Bukan Pajak Yang Berlaku Pada Kementerian Pendidikan Dan Kebudayaan;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1524;Peraturan Pemerintah RI No.83 Tahun 2016 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Saham Perusahaan Perseroan (Persero) PT Hutama Karya;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1525;Peraturan Pemerintah RI No.84 Tahun 2016 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Saham Perusahaan Perseroan (Persero) PT Krakatau Steel Tbk;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1526;Peraturan Pemerintah RI No.85 Tahun 2016 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Perusahaan Umum (Perum) Pembangunan Perumahan Nasional;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1527;Peraturan Pemerintah RI No.86 Tahun 2016 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Saham Perusahaan Perseroan (Persero) PT Amarta Karya;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1528;Peraturan Pemerintah RI No.87 Tahun 2016 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Saham Perusahaan Perseroan (Persero) PT Pelayaran Nasional Indonesia;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1529;Peraturan Pemerintah RI No.88 Tahun 2016 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Saham Perusahaan Perseroan (Persero) PT Perikanan Nusantara;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1530;Peraturan Pemerintah RI No.89 Tahun 2016 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Saham PT Perkebunan Nusantara I;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1531;Peraturan Pemerintah RI No.90 Tahun 2016 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Saham PT Perkebunan Nusantara VIII;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1532;Peraturan Pemerintah RI No.91 Tahun 2016 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Saham Perusahaan Perseroan (Persero) PT Perusahaan Listrik Negara;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1533;Peraturan Pemerintah RI No.92 Tahun 2016 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Perusahaan Umum (Perum) Jaminan Kredit Indonesia;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1534;Peraturan Pemerintah RI No.93 Tahun 2016 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Saham Perusahaan Perseroan (Persero) PT Asuransi Kredit Indonesia;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1535;Peraturan Pemerintah RI No.94 Tahun 2016 Tentang Penambahan Penyertaan Modal Negara RI Pada Islamic Development Bank;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1536;Peraturan Pemerintah RI No.95 Tahun 2016 Tentang Penambahan Penyertaan Modal Negara RI Pada International Fund For Agricultural Development;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1537;Peraturan Pemerintah RI No.96 Tahun 2016 Tentang Penambahan Penyertaan Modal Negara RI Pada International Development Association;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1538;Peraturan Pemerintah RI No.97 Tahun 2016 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Saham Perusahaan Perseroan (Persero) PT Boma Bisma Indra;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1539;Peraturan Pemerintah RI No.98 Tahun 2016 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Saham Perusahaan Perseroan (Persero) PT Rajawali Nusantara Indonesia;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1540;Peraturan Pemerintah RI No.1 Tahun 2017 Tentang Perubahan Keempat Atas Peraturan Pemerintah No.23 Tahun 2010 Tentang Pelaksanaan Kegiatan Usaha Pertambangan Mineral Dan Batubara;--;Kemenkum & HAM;Jakarta;2017;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1541;Peraturan Pemerintah RI No.4 Tahun 2017 Tentang Perubahan Kedua Atas Peraturan Pemerintah No.8 Tahun 2005 Tentang Tata Kerja Dan Susunan Organisasi Lembaga Kerja Sama Tripartit;--;Kemenkum & HAM;Jakarta;2017;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1542;Peraturan Pemerintah RI No.5 Tahun 2017 Tentang Kawasan Ekonomi Khusus Arun Lhokseumawe;--;Kemenkum & HAM;Jakarta;2017;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1543;Peraturan Pemerintah RI No.6 Tahun 2017 Tentang Perubahan Atas Peraturan Pemerintah No.56 Tahun 2009 Tentang Penyelenggaraan Perkeretaapian;--;Kemenkum & HAM;Jakarta;2017;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1544;Peraturan Pemerintah RI No.8 Tahun 2017 Tentang Tata Cara Pelaksanaan Koordinasi, Pemantauan, Evaluasi, Dan Pelaporan Sistem Peradilan Pidana Anak;--;Kemenkum & HAM;Jakarta;2017;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1545;Peraturan Pemerintah RI No.9 Tahun 2017 Tentang Pedoman Register Perkara Anak Dan Anak Korban;--;Kemenkum & HAM;Jakarta;2017;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1546;Peraturan Pemerintah RI No.10 Tahun 2017 Tentang Perubahan Atas Peraturan Pemerintah No.51 Tahun 2010 Tentang Pendirian Perusahaan Penerbit Surat Berharga Syariah Negara Indonesia II;--;Kemenkum & HAM;Jakarta;2017;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1547;Peraturan Pemerintah RI No.12 Tahun 2017 Tentang Pembinaan Dan Pengawasan Penyelenggaraan Pemerintahan Daerah;--;Kemenkum & HAM;Jakarta;2017;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1548;Peraturan Pemerintah RI No.14 Tahun 2017 Tentang Perubahan Kedua Atas Peraturan Pemerintah No.63 Tahun 2005 Tentang Sistem Manajemen Sumber Daya Manusia KPK;--;Kemenkum & HAM;Jakarta;2017;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1549;Peraturan Pemerintah RI No.15 Tahun 2017 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Perusahan Umum (Perum) Lembaga Penyelenggara Pelayanan Navigasi Penerbangan Indonesia;--;Kemenkum & HAM;Jakarta;2017;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1550;Peraturan Pemerintah RI No.16 Tahun 2017 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Saham Perusahaan Perseroan (Persero) PT Angkasa Pura II;--;Kemenkum & HAM;Jakarta;2017;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1551;Peraturan Pemerintah RI No.17 Tahun 2017 Tentang Sinkronisasi Proses Perencanaan Dan Penganggaran Pembangunan Nasional;--;Kemenkum & HAM;Jakarta;2017;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1552;Peraturan Pemerintah RI No.18 Tahun 2017 Tentang Hak Keuangan Dan Administratif Pimpinan Dan Anggota DPRD;--;Kemenkum & HAM;Jakarta;2017;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1553;Peraturan Pemerintah RI No.19 Tahun 2017 Tentang Perubahan Atas Peraturan Pemerintah No.74 Tahun 2008 Tentang Guru;--;Kemenkum & HAM;Jakarta;2017;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1554;Peraturan Pemerintah RI No.20 Tahun 2017 Tentang Pengendalian Impor Atau Ekspor Barang Yang Berasal Dari Hasil Pelanggaran Hak Kekayaan Intelektual;--;Kemenkum & HAM;Jakarta;2017;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1555;Peraturan Pemerintah RI No.21 Tahun 2017 Tentang Pembinaan Potensi Pencarian Dan Pertolongan;--;Kemenkum & HAM;Jakarta;2017;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1556;Peraturan Pemerintah RI No.22 Tahun 2017 Tentang Operasi Pencarian Dan Pertolongan;--;Kemenkum & HAM;Jakarta;2017;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1557;Peraturan Pemerintah RI No.23 Tahun 2017 Tentang Perubahan Atas Peraturan Pemerintah No.19 Tahun 2016 Tentang Pemberian Gaji, Pensiun, Atau Tunjangan Ketiga Belas Kepada PNS, Prajurit TNI, Anggota POLRI, Pejabat Negara, Dan Penerima Pensiun Atau Tunjangan;--;Kemenkum & HAM;Jakarta;2017;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1558;Peraturan Pemerintah RI No.24 Tahun 2017 Tentang Pemberian Penghasilan Ketiga Belas Kepada Pimpinan Dan Pegawai NonPNS Pada Lembaga Nonstruktural;--;Kemenkum & HAM;Jakarta;2017;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1559;Peraturan Pemerintah RI No.25 Tahun 2017 Tentang Pemberian Tunjangan Hari Raya Kepada PNS, Prajurit TNI, Anggota POLRI, Dan Pejabat Negara;--;Kemenkum & HAM;Jakarta;2017;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1560;Peraturan Pemerintah RI No.26 Tahun 2017 Tentang Pemberian Tunjangan Hari Raya Dalam Tahun Anggaran 2017 Kepada Pimpinan Dan Pegawai NonPNS Pada Lembaga Nonstruktural;--;Kemenkum & HAM;Jakarta;2017;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1561;Peraturan Pemerintah No.28 Tahun 2017 Tentang Pembudidayaan Ikan;--;Kemenkum & HAM;Jakarta;2017;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1562;Peraturan Pemerintah No.29 Tahun 2017 Tentang Cara Pembayaran Barang Dan Cara Penyerahan Barang Dalam Kegiatan Ekspor Dan Impor;--;Kemenkum & HAM;Jakarta;2017;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1563;Peraturan Pemerintah No.30 Tahun 2017 Tentang Perubahan Ketiga Atas Peraturan Pemerintah No.15 Tahun 2005 Tentang Jalan Tol;--;Kemenkum & HAM;Jakarta;2017;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1564;Peraturan Pemerintah No.38 Tahun 2017 Tentang Inovasi Daerah;--;Kemenkum & HAM;Jakarta;2017;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1565;Peraturan Pemerintah No.40 Tahun 2017 Tentang Perubahan Atas Peraturan Pemerintah No.48 Tahun 2007 Tentang Kawasan Perdagangan Bebas Dan Pelabuhan Bebas Dan Pelabuhan Bebas Karimun;--;Kemenkum & HAM;Jakarta;2017;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1566;Peraturan Pemerintah No.41 Tahun 2017 Tentang Perubahan Atas Peraturan Pemerintah No.47 Tahun 2007 Tentang Kawasan Perdagangan Bebas Dan Pelabuhan Bebas Dan Pelabuhan Bebas Bintan;--;Kemenkum & HAM;Jakarta;2017;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1567;Peraturan Pemerintah No.42 Tahun 2017 Tentang Kawasan Ekonomi Khusus Galang Batang;--;Kemenkum & HAM;Jakarta;2017;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1568;Peraturan Pemerintah No.43 Tahun 2017 Tentang Pelaksanaan Restitusi Bagi Anak Yang Menjadi Korban Tindak Pidana;--;Kemenkum & HAM;Jakarta;2017;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1569;Peraturan Pemerintah Pengganti UU RI No.1 Tahun 2016 Tentang Perubahan Kedua Atas UU No.23 Tahun 2002 Tentang Perlindungan Anak;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1570;Peraturan Pemerintah Pengganti UU RI No.2 Tahun 2017 Tentang Perubahan Atas UU No.17 Tahun 2013 Tentang Organisasi Kemasyarakatan;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;
1571;Peraturan Pemerintah Tentang Disiplin Pegawai Negeri Sipil;Disusun : Tim Permata Press;Permata Press;Jakarta;2019;978-602-8228-85-5;;;;;4F;1;;348;PRE;S;;ada;;
1572;PERATURAN PERUNDANG-UNDANGAN MENGENAI KEHUTANAN DAN LINGKUNGAN HIDUP;--;BP. PANCA USAHA PUTRA;Jakarta;2002;;;;;;4B;;;;;;;;;
1573;PERATURAN PERUNDANG-UNDANGAN PERBANKAN DI INDONESIA // BUKU VIII;IMAN SJAHPUTRA TUNGGAL, S.H., CN., LLM., Drs. ARIF DJOHAN TUNGGAL, S.H., Drs. AMIN WIDJAJA TUNGGAL, Ak., MBA.;HARVARINDO;Jakarta;2004;;;;;xv, 374;4A;;21;348;TUN;B;;ADA;;
1574;PERATURAN PERUNDANG-UNDANGAN PERBANKAN DI INDONESIA // BUKU IX;IMAN SJAHPUTRA TUNGGAL, S.H., CN., LLM., Drs. ARIF DJOHAN TUNGGAL, S.H., Drs. AMIN WIDJAJA TUNGGAL, Ak., MBA.;HARVARINDO;Jakarta;2004;;;;;;4A;;21;348;TUN;B;;ADA;;
1575;PERATURAN PERUNDANG-UNDANGAN PERBANKAN DI INDONESIA // BUKU X;IMAN SJAHPUTRA TUNGGAL, S.H., CN., LLM., Drs. ARIF DJOHAN TUNGGAL, S.H., Drs. AMIN WIDJAJA TUNGGAL, Ak., MBA.;HARVARINDO;Jakarta;2004;;;;;;4A;;21;348;TUN;B;;ADA;;
1576;PERATURAN PERUNDANG-UNDANGAN TENTANG TERORISME;disusun oleh : HADI SETIA TUNGGAL, S.H.;HARVARINDO;Jakarta;2004;;;;;;5C;2;;;;;;;;
1577;PERATURAN PERUNDANG-UNDANGAN YANG MENGATUR KETENTUAN PIDANA DAN ACARA PIDANA;--;KEJAKSAAN AGUNG R.I.;Jakarta;1995;;;;;;4C;;;;;;;;;
1578;PERATURAN PRESIDEN PENGADAAN BARANG/JASA PEMERINTAH // LAMPIRAN PERATURAN KEPALA LKPP NO. 6 TAHUN 2012;--;FOKUSINDO MANDIRI;Bandung;2012;;;;;;4E;;;;;;;;;
1579;"PERATURAN PRESIDEN R.I. : KEDUDUKAN, TUGAS, FUNGSI, SUSUNAN ORGANISASI, KEWENANGAN, TATA KERJA KEMENTERIAN NEGARA DAN LEMBAGA PEMERINTAH NON DEPARTEMEN ; TUNJANGAN JABATAN FUNGSIONAL/STRUKTURAL";--;CV. EKO JAYA;Jakarta;2005;;;;;;5D;;;;;;;;;
1580;PERATURAN PRESIDEN R.I. NO. 32 TAHUN 2005 TENTANG PERUBAHAN KEDUA ATAS KEPUTUSAN PRESIDEN NOMOR 80 TAHUN 2003 TENTANG PEDOMAN PELAKSANAAN PENGADAAN BARANG/JASA PEMERINTAH;--;CV. EKO JAYA;Jakarta;2005;;;;;;4A;;;;;;;;;
1581;PERATURAN PRESIDEN R.I. NOMOR 54 TAHUN 2010 // PENGADAAN BARANG/JASA PEMERINTAH;--;ANFAKA PERDANA;Surabaya;2010;;;;;;7E;;;;;;;;;
1582;PERATURAN PRESIDEN R.I. NOMOR 54 TAHUN 2010 // PENGADAAN BARANG/JASA PEMERINTAH;--;PENERBIT INTIMEDIA;Bandung;2011;;;;;;7E;;;;;;;;;
1583;PERATURAN PRESIDEN R.I. NOMOR 54 TAHUN 2010 // PENGADAAN BARANG & JASA PEMERINTAH;--;KEJAKSAAN TINGGI KAL-TENG;Palangka Raya;2011;;;;;;4C;;;;;;;;;
1584;Peraturan Presiden RI No.71 Tahun 2013 Tentang Tunjangan Jabatan Fungsional Pustakawan;--;Kemenkum & HAM;Jakarta;2013;;;;;;4G;;;348.02;HAM;DL;;Ada;;
1585;Peraturan Presiden RI No.74 Tahun 2013 Tentang Pengendalian Dan Pengawasan Minuman Beralkohol;--;Kemenkum & HAM;Jakarta;2014;;;;;;4G;;;348.02;HAM;DL;;Ada;;
1586;Peraturan Presiden RI No.3 Tahun 2014 Tentang Pengesahan Persetujuan Antara Pemerintah RI Dan Pemerintah Republik Nikaragua Mengenai Pembebasan Visa Bagi Pemegang Paspor Diplomatik Dan Dinas;--;Kemenkum & HAM;Jakarta;2014;;;;;;4G;;;348.02;HAM;DL;;Ada;;2652
1587;Peraturan Presiden RI No.4 Tahun 2014 tentang Perubahan Keempat atas Peraturan Presiden Nomor 54 Tahun 2010 tentang Pengadaan Barang / Jasa Pemerintah ;--;Kemenkum & HAM;Jakarta;2014;;;;;;4G;;;348.02;HAM;DL;;Ada;;2675
1588;Peraturan Presiden RI No.8 Tahun 2014 Tentang Pengesahan Persetujuan Antara Pemerintah RI Dan Pemerintah Republik Venezuela Tentang Pembebasan Visa Bagi Pemegang Paspor Diplomatik Dan Dinas;--;Kemenkum & HAM;Jakarta;2014;;;;;;4G;;;348.02;HAM;DL;;Ada;;2656
1589;Peraturan Presiden RI No.9 Tahun 2014 Tentang Pengesahan Persetujuan Antara Pemerintah RI Dan Pemerintah Republik Polandia Mengenai Pembebasan Visa Bagi Pemegang Paspor Diplomatik Dan Dinas;--;Kemenkum & HAM;Jakarta;2014;;;;;;4G;;;348.02;HAM;DL;;Ada;;26451
1590;Peraturan Presiden RI No.19 Tahun 2014 Tentang Pengesahan Persetujuan Mengenai Pembentukan Sekretariat Regional Prakarsa Segitiga Karang Untuk Terumbu Karang, Perikanan Dan Ketahanan Pangan;--;Kemenkum & HAM;Jakarta;2014;;;;;;4G;;;348.02;HAM;DL;;Ada;;
1591;Peraturan Presiden RI No.20 Tahun 2014 Tentang Pengesahan Persetujuan Antara Pemerintah RI Dan Kerajaan Belanda Tentang Pembayaran Tunjangan Asuransi Sosial Belanda Di Indonesia;--;Kemenkum & HAM;Jakarta;2014;;;;;;4G;;;348.02;HAM;DL;;Ada;;2646
1592;Peraturan Presiden RI No.29 Tahun 2014 Tentang Sistem Akuntabilitas Kinerja Instansi Pemerintah;--;Kemenkum & HAM;Jakarta;2014;;;;;;4G;;;348.02;HAM;DL;;Ada;;
1593;Peraturan Presiden RI No.39 Tahun 2014 Tentang Daftar Bidang Usaha Yang Tertutup Dan Bidang Usaha Yang Terbuka Dengan Persyaratan Di Bidang Penanaman Modal;--;Kemenkum & HAM;Jakarta;2014;;;;;;4G;;;348.02;HAM;DL;;Ada;;2648
1594;Peraturan Presiden RI No.40 Tahun 2014 Tentang Perubahan Atas Peraturan Presiden No.71 Tahun 2012 Tentang Penyelenggaraan Pengadaan Tanah Bagi Pembangunan Untuk Kepentingan Umum;--;Kemenkum & HAM;Jakarta;2014;;;;;;4G;;;348.02;HAM;DL;;Ada;;2647
1595;Peraturan Presiden RI No.54 Tahun 2014 Tentang Pengesahan Protokol Ketiga Untuk Mengubah Persetujuan Kerangka Kerja Mengenai Kerja Sama Ekonomi Menyeluruh Antara Asosiasi Bangsa-bangsa Asia Tenggara Dan Republik Rakyat China;--;Kemenkum & HAM;Jakarta;2014;;;;;;4G;;;348.02;HAM;DL;;Ada;;2653
1596;Peraturan Presiden RI No.59 Tahun 2014 Tentang Pengesahan Protokol Untuk Melaksanakan Komitmen Paket Ke Delapan Dalam Persetujuan Kerangka Kerja Asean Di Bidang Jasa;--;Kemenkum & HAM;Jakarta;2014;;;;;;4G;;;348.02;HAM;DL;;Ada;;
1597;Peraturan Presiden RI No.60 Tahun 2014 Tentang Pengesahan Persetujuan Antara Pemerintah RI Dan Pemerintah Republik Moldova Tentang Pembebasan Visa Bagi Pemegang Paspor Diplomatik Dan Dinas;--;Kemenkum & HAM;Jakarta;2014;;;;;;4G;;;348.02;HAM;DL;;Ada;;2654
1598;Peraturan Presiden RI No.61 Tahun 2014 Tentang Pengesahan Persetujuan Antara Pemerintah RI Dan Pemerintah Republik Perancis Mengenai Pembebasan Visa Jangka Pendek Bagi Pemegang Paspor Diplomatik Dan Paspor Dinas;--;Kemenkum & HAM;Jakarta;2014;;;;;;4G;;;348.02;HAM;DL;;Ada;;2650
1599;Peraturan Presiden RI No.65 Tahun 2014 Tentang Pengesahan Konvensi Internasional Mengenai Tanggung Jawab Sipil Terhadap Kerusakan Akibat Pencemaran Minyak Bahan Bakar, 2001;--;Kemenkum & HAM;Jakarta;2014;;;;;;4G;;;348.02;HAM;DL;;Ada;;
1600;Peraturan Presiden RI No.66 Tahun 2014 Tentang Pengesahan Konvensi Internasional Tentang Pengendalian Sistem-sistem Anti Teritip Berbahaya Pada Kapal-kapal, 2001;--;Kemenkum & HAM;Jakarta;2014;;;;;;4G;;;348.02;HAM;DL;;Ada;;
1601;Peraturan Presiden No.67 Tahun 2014 Tentang Pengesahan Persetujuan Antara Pemerintah RI Dan Pemerintah Republik Kostarika Mengenai Pembebasan Visa Bagi Pemegang Paspor Diplomatik Dan Dinas;--;Kemenkum & HAM;Jakarta;2014;;;;;;4G;;;348.02;HAM;DL;;Ada;;2655
1602;Peraturan Presiden RI No.69 Tahun 2014 Tentang Pengesahan Konvensi Internasional Tentang Penyederhanaan Dan Harmonisasi Prosedur Pabean, Sebagaimana Telah Diubah Beserta Lampiran Umumnya;--;Kemenkum & HAM;Jakarta;2014;;;;;;4G;;;348.02;HAM;DL;;Ada;;
